"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000176136",17.1557354902935,2.75721360351062,0.557758930269534,3.90350290305256,9.48104125107931e-05,0.0319665432693367
"ENSG00000176597",103.048115660087,2.39861471050936,0.338728393119177,5.36894676517273,7.91977904878353e-08,8.20149690351883e-05
"ENSG00000177112",3.61249170851155,2.31943448547742,0.366416178549514,4.74715524943003,2.06297604100571e-06,0.00124620944343753
"ENSG00000180549",12.0435162623749,3.8053353155885,0.504508709419477,6.39302207349364,1.62638772115433e-10,3.36848131161363e-07
"ENSG00000183696",868.578307480662,1.53521588368762,0.20391706861109,4.68433510835431,2.80870168232089e-06,0.0016052367072248
"ENSG00000184014",355.18900976628,1.82426643388055,0.319385182451484,3.89581765919763,9.78679989009703e-05,0.0322475056378697
"ENSG00000184106",4.21541304943482,3.71892223809653,0.525464732731485,5.97361162904255,2.32057869292082e-09,3.95808822234896e-06
"ENSG00000185201",1921.45701524486,1.58257287796342,0.236468328423788,4.23977656816117,2.23742376109429e-05,0.00982974839040758
"ENSG00000186529",180.136555359249,2.45042561281429,0.485528284221553,3.85235149753045,0.000116988926583049,0.0376912323911344
"ENSG00000189196",10.062974273591,-2.29922260391734,0.362554842973256,-4.7419656287536,2.11654539073432e-06,0.00125247653366801
"ENSG00000196358",108.446213550688,2.30057563993773,0.308853322131472,5.57085035726221,2.53498992172792e-08,3.19585077262708e-05
"ENSG00000198019",11.1121146924391,3.31161540802042,0.535384700978228,5.10215440043272,3.35808602147799e-07,0.00026316503318588
"ENSG00000198216",43.0023773716119,1.97408108572426,0.359412526077832,3.87877712815821,0.000104982882146889,0.0342031870868674
"ENSG00000198223",40.8333526590188,2.70619815293125,0.464759544269019,4.57483483480768,4.76595819820512e-06,0.00246774506991349
"ENSG00000198734",74.9865279748767,2.54607607517366,0.39394420299798,4.99074757341648,6.01460562468162e-07,0.000425364645593337
"ENSG00000211459",32227.1240169533,2.04664724856716,0.213544973975223,6.86809537712338,6.50647170767803e-12,2.09624059595369e-08
"ENSG00000211670",475.413180375638,2.43517270954591,0.3961279487402,4.68326639270439,2.82339191848754e-06,0.0016052367072248
"ENSG00000227039",60.8184566375084,2.83548904758413,0.417394482700248,5.40373469479688,6.52674600989575e-08,7.00924175196063e-05
"ENSG00000231412",7.1355250883029,3.60785881818187,0.670777574783371,4.51395355481244,6.36301575006209e-06,0.00318106904635863
"ENSG00000234389",19.391914667502,2.83635851347535,0.56619714436643,3.98511107999352,6.74485659732703e-05,0.0241449212217401
"ENSG00000234506",16.5756684336167,2.48734225518172,0.394637120505157,4.83315470359255,1.34386272610513e-06,0.000865925413469873
"ENSG00000239998",216.755841204773,1.99785128813522,0.371250660720253,3.81912125189079,0.000133927923126362,0.0417567103115268
"ENSG00000244734",12849.642497692,2.15885577761012,0.39089563726378,4.0390723945192,5.3663001907446e-05,0.0202079532897182
"ENSG00000246363",8.6328814870528,1.8554771125839,0.305339556234886,4.177241652905,2.95065499574888e-05,0.0118829433689909
"ENSG00000249464",2.51956041925356,3.67355755005386,0.584645900316922,5.29133540212446,1.2142644437587e-07,0.000113576812294281
"ENSG00000250120",4.35808632984062,-3.34407848282667,0.690801503984665,-4.00126297769037,6.30052870379147e-05,0.0228362662868922
"ENSG00000255197",82.1320419790191,1.90866873604037,0.341046254404157,3.89586080739015,9.7850575350087e-05,0.0322475056378697
"ENSG00000256917",30.9929203131125,-2.09522921991904,0.396349705149072,-3.82296038128538,0.000131858972699957,0.0415585083957386
"ENSG00000258227",22.7509250268175,3.18580496755846,0.508250667054394,5.12700747184573,2.94383837989031e-07,0.000237109826842498
"ENSG00000260518",5.79056893594759,-3.40179343164739,0.651371223335549,-4.33208181533953,1.47706030290779e-05,0.00658905239124836
"ENSG00000269119",2.35595409566952,3.86585811997865,0.65356070285443,5.02762498667323,4.96591813908904e-07,0.000359979405902564
"ENSG00000273812",6.54903481534519,2.96069016411704,0.593471671422784,4.01146386382622,6.03434144771999e-05,0.0221483246352011
"ENSG00000274317",119.179666582318,1.48001555756108,0.237058448440365,3.79659768922974,0.000146695569926347,0.0447745762693091
"ENSG00000274767",5.68122383965206,2.92224881483528,0.526372472061582,4.4497935191437,8.59528858055319e-06,0.004153816461362
