"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","thresh"
"ENSG00000154874",2203.74644687477,0.421019348608719,0.245610197319122,1.71417698940931,0.0864962255821939,0.47616556384154,FALSE
"ENSG00000154889",1019.96895177757,-0.0736742429564576,0.0740019229494491,-0.995572007051556,0.319458141520605,0.745444537644033,FALSE
"ENSG00000154898",828.490032343875,1.16545557623813,0.355031598520273,3.28268126300759,0.00102824855338684,0.0503850058591665,FALSE
"ENSG00000154914",4.70265112664045,0.00904474300708481,0.605887949137177,0.0149280787313316,0.988089558828206,0.997411482951528,FALSE
"ENSG00000154917",341.882297438192,-0.156486510582899,0.135761937151113,-1.15265378401841,0.249052517970017,0.692807409400467,FALSE
"ENSG00000154920",158.950697202375,0.0899063110397643,0.156791018568283,0.573414930655671,0.566363783325996,0.880088369010873,FALSE
"ENSG00000154928",732.769783183685,-0.0176457096954476,0.360142500746347,-0.0489964657292024,0.960922112498193,0.991194897699375,FALSE
"ENSG00000154930",7892.49453388019,-0.0313456499452591,0.109484528106442,-0.286302096628526,0.77464675243342,0.948497585881254,FALSE
"ENSG00000154945",1599.77981749666,0.0810769917123061,0.0687646190959112,1.17905098258775,0.238377875399933,0.681565314220656,FALSE
"ENSG00000154957",578.373463238229,-0.0199244674986243,0.0749890133083994,-0.265698488613033,0.790471427471048,0.951207904122782,FALSE
"ENSG00000154975",1.10468636893937,3.59032517823993,0.866252408328831,4.14466400753374,NA,NA,NA
"ENSG00000154978",6430.58500293791,0.0989304209641928,0.117558738962014,0.841540338367866,0.400045296695817,0.795590769752532,FALSE
"ENSG00000155008",884.762790523388,0.163976254001164,0.089281433993261,1.83662209114541,0.0662657037813836,0.431438331051235,FALSE
"ENSG00000155011",5.13493304313856,-1.14295493439901,0.337723439631768,-3.38429259054455,0.000713619121676237,0.0402570039924594,FALSE
"ENSG00000155016",339.709485934186,0.182672601062348,0.208888946968775,0.874496251300718,0.381848060813181,0.784843245179505,FALSE
"ENSG00000155026",4.29769582526003,0.0925818619043694,0.214292014036086,0.432035987532315,0.665715257616201,0.918887971144826,FALSE
"ENSG00000155034",276.048059049375,-0.102171686409518,0.103064848724023,-0.991333977339871,0.32152252718762,0.746851630759799,FALSE
"ENSG00000155052",7.57531226746986,-1.50261613547488,0.69252108073189,-2.16977674367232,0.0300237629882561,0.320769724247411,FALSE
"ENSG00000155066",23.5605157984909,-0.0243491781532574,0.230609950126522,-0.105585982477766,0.91591084693815,0.982746252739139,FALSE
"ENSG00000155070",5.0007958609344,-0.612782598878518,0.476542938952052,-1.28589167688869,0.19848086885148,0.64382495505286,FALSE
"ENSG00000155085",602.942999998472,0.0831133740441027,0.1018543571261,0.816002146488493,0.414498908049084,0.803557554174717,FALSE
"ENSG00000155087",1.61004819297654,-0.280198131295696,0.347807260434959,-0.805613232297931,0.420465893477562,0.8061323094542,FALSE
"ENSG00000155090",7704.33914426717,-0.142406559927932,0.197490847364508,-0.72107928963965,0.47086073246458,0.835254973604733,FALSE
"ENSG00000155093",346.961436923688,-0.20377738143235,0.350735955494404,-0.58099940493726,0.561240854602025,0.877628497190932,FALSE
"ENSG00000155096",7909.43749043215,0.204315213876238,0.0873769551516562,2.33831922297609,0.0193706945486314,0.263411174199801,FALSE
"ENSG00000155097",1713.63256879294,0.131933174443925,0.0820318518535826,1.60831642176517,0.10776589587019,0.512679231608207,FALSE
"ENSG00000155099",700.699203488227,0.141125577264075,0.107414652586991,1.31383916314195,0.188900335219945,0.632255314328141,FALSE
"ENSG00000155100",834.927146015438,0.0966134364338143,0.0869417773890769,1.11124294137047,0.266463792204499,0.706832046694905,FALSE
"ENSG00000155111",440.111103562998,-0.0828240151359757,0.138475064081415,-0.598115015763996,0.54976319167178,0.872961558118897,FALSE
"ENSG00000155115",1330.26082784418,-0.0958114352225602,0.103442123587324,-0.926232292028283,0.354325274180405,0.768782972922405,FALSE
"ENSG00000155158",211.624969199417,0.692589642675011,0.261927615598071,2.64420244919036,0.0081883664648024,0.167557971171863,FALSE
"ENSG00000155189",996.754029739807,0.123356018619907,0.136483157694193,0.903818615453649,0.366091589135541,0.776067970828267,FALSE
"ENSG00000155229",2685.64071457055,-0.0971353542056391,0.0576962520729322,-1.68356436884068,0.0922658896585955,0.484572112297535,FALSE
