"","SYMBOL","GENEID"
"225","TMEM169","ENSG00000163449"
"226","CXCR1","ENSG00000163464"
"227","MNDA","ENSG00000163563"
"228","PTX3","ENSG00000163661"
"229","CXCL1","ENSG00000163739"
"230","PLB1","ENSG00000163803"
"231","HHIP","ENSG00000164161"
"232","ACSL6","ENSG00000164398"
"233","KCNK5","ENSG00000164626"
"234","STEAP1","ENSG00000164647"
"235","TMEM71","ENSG00000165071"
"236","RNF183","ENSG00000165188"
"237","CLMP","ENSG00000166250"
"238","C15orf48","ENSG00000166920"
"239","SCG5","ENSG00000166922"
"240","EPB42","ENSG00000166947"
"241","NKX3-1","ENSG00000167034"
"242","LOXHD1","ENSG00000167210"
"243","TUBA1A","ENSG00000167552"
"244","SEMA6B","ENSG00000167680"
"245","KRT1","ENSG00000167768"
"246","CASKIN1","ENSG00000167971"
"247","BEST1","ENSG00000167995"
"248","ZBBX","ENSG00000169064"
"249","RNASE2","ENSG00000169385"
"250","RNASE3","ENSG00000169397"
"251","PTAFR","ENSG00000169403"
"252","ZEB2","ENSG00000169554"
"253","AHSP","ENSG00000169877"
"254","WNT10B","ENSG00000169884"
"255","ITGAM","ENSG00000169896"
"256","TPST1","ENSG00000169902"
"257","FRMPD4","ENSG00000169933"
"258","MYO7B","ENSG00000169994"
"259","PFKFB3","ENSG00000170525"
"260","GPR27","ENSG00000170837"
"261","OSCAR","ENSG00000170909"
"262","CEACAM3","ENSG00000170956"
"263","FPR2","ENSG00000171049"
"264","LRG1","ENSG00000171236"
"265","KCND3","ENSG00000171385"
"266","MAP6","ENSG00000171533"
"267","DNAI2","ENSG00000171595"
"268","PIK3CD","ENSG00000171608"
"269","LGALS9C","ENSG00000171916"
"270","ZNF556","ENSG00000172000"
"271","CEBPB","ENSG00000172216"
"272","CLEC12A","ENSG00000172322"
"273","CTSW","ENSG00000172543"
"274","PDE3A","ENSG00000172572"
"275","SMPDL3A","ENSG00000172594"
"276","THEMIS","ENSG00000172673"
"277","MYEOV","ENSG00000172927"
"278","TNFRSF10C","ENSG00000173535"
"279","SULT1B1","ENSG00000173597"
"280","HAP1","ENSG00000173805"
"281","MC5R","ENSG00000176136"
"282","OR5AN1","ENSG00000176495"
"283","B3GNT5","ENSG00000176597"
"284","BOK","ENSG00000176720"
"285","RHOG","ENSG00000177105"
"286","MRVI1-AS1","ENSG00000177112"
"287","NAP1L4P1","ENSG00000177173"
"288","RIMKLA","ENSG00000177181"
"289","FBXO39","ENSG00000177294"
"290","GSG2","ENSG00000177602"
"291","ERFE","ENSG00000178752"
"292","CPNE7","ENSG00000178773"
"293","CD300LB","ENSG00000178789"
"294","LRRC3B","ENSG00000179796"
"295","PNPLA1","ENSG00000180316"
"296","FUT7","ENSG00000180549"
"297","ZBTB12BP","ENSG00000180610"
"298","CXCR2","ENSG00000180871"
"299","MAPK15","ENSG00000181085"
"300","P2RY13","ENSG00000181631"
"301","PNMAL1","ENSG00000182013"
"302","NXPH4","ENSG00000182379"
"303","LIMK2","ENSG00000182541"
"304","NTM","ENSG00000182667"
"305","CRIP2","ENSG00000182809"
"306","UPP1","ENSG00000183696"
"307","ASCL2","ENSG00000183734"
"308","DENND5A","ENSG00000184014"
"309","TREML3P","ENSG00000184106"
"310","OLIG1","ENSG00000184221"
